CustomerKey,GeographyKey,CustomerAlternateKey,FirstName,LastName,FullName,Gender,DateFirstPurchase,City,State,Country
11000,26,AW00011000,Jon,Yang,Jon Yang,Male,2021-01-19,Rockhampton,Queensland,Australia
11001,37,AW00011001,Eugene,Huang,Eugene Huang,Male,2021-01-15,Seaford,Victoria,Australia
11002,31,AW00011002,Ruben,Torres,Ruben Torres,Male,2021-01-07,Hobart,Tasmania,Australia
11003,11,AW00011003,Christy,Zhu,Christy Zhu,Female,2020-12-29,North Ryde,New South Wales,Australia
11004,19,AW00011004,Elizabeth,Johnson,Elizabeth Johnson,Female,2021-01-23,Wollongong,New South Wales,Australia
11005,22,AW00011005,Julio,Ruiz,Julio Ruiz,Male,2020-12-30,East Brisbane,Queensland,Australia
11006,8,AW00011006,Janet,Alvarez,Janet Alvarez,Female,2021-01-24,Matraville,New South Wales,Australia
11007,40,AW00011007,Marco,Mehta,Marco Mehta,Male,2021-01-09,Warrnambool,Victoria,Australia
11008,32,AW00011008,Rob,Verhoff,Rob Verhoff,Female,2021-01-25,Bendigo,Victoria,Australia
11009,25,AW00011009,Shannon,Carlson,Shannon Carlson,Male,2021-01-27,Hervey Bay,Queensland,Australia
11010,22,AW00011010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,2021-01-14,East Brisbane,Queensland,Australia
11011,22,AW00011011,Curtis,Lu,Curtis Lu,Male,2020-12-30,East Brisbane,Queensland,Australia
11012,611,AW00011012,Lauren,Walker,Lauren Walker,Female,2023-03-16,Bremerton,Washington,United States
11013,543,AW00011013,Ian,Jenkins,Ian Jenkins,Male,2023-04-13,Lebanon,Oregon,United States
11014,634,AW00011014,Sydney,Bennett,Sydney Bennett,Female,2023-03-23,Redmond,Washington,United States
11015,301,AW00011015,Chloe,Young,Chloe Young,Female,2023-01-18,Burbank,California,United States
11016,329,AW00011016,Wyatt,Hill,Wyatt Hill,Male,2023-02-09,Imperial Beach,California,United States
11017,39,AW00011017,Shannon,Wang,Shannon Wang,Female,2021-01-12,Sunbury,Victoria,Australia
11018,32,AW00011018,Clarence,Rai,Clarence Rai,Male,2021-01-17,Bendigo,Victoria,Australia
11019,52,AW00011019,Luke,Lal,Luke Lal,Male,2023-02-12,Langley,British Columbia,Canada
11020,53,AW00011020,Jordan,King,Jordan King,Male,2022-12-29,Metchosin,British Columbia,Canada
11021,536,AW00011021,Destiny,Wilson,Destiny Wilson,Female,2023-01-23,Beaverton,Oregon,United States
11022,609,AW00011022,Ethan,Zhang,Ethan Zhang,Male,2023-01-20,Bellingham,Washington,United States
11023,298,AW00011023,Seth,Edwards,Seth Edwards,Male,2023-02-17,Bellflower,California,United States
11024,311,AW00011024,Russell,Xie,Russell Xie,Male,2023-06-27,Concord,California,United States
11025,24,AW00011025,Alejandro,Beck,Alejandro Beck,Male,2021-01-06,Hawthorne,Queensland,Australia
11026,4,AW00011026,Harold,Sai,Harold Sai,Male,2021-01-23,Goulburn,New South Wales,Australia
11027,40,AW00011027,Jessie,Zhao,Jessie Zhao,Male,2021-01-16,Warrnambool,Victoria,Australia
11028,17,AW00011028,Jill,Jimenez,Jill Jimenez,Female,2021-01-26,St. Leonards,New South Wales,Australia
11029,32,AW00011029,Jimmy,Moreno,Jimmy Moreno,Male,2021-01-19,Bendigo,Victoria,Australia
11030,28,AW00011030,Bethany,Yuan,Bethany Yuan,Female,2021-02-05,Cloverdale,South Australia,Australia
11031,8,AW00011031,Theresa,Ramos,Theresa Ramos,Female,2021-02-01,Matraville,New South Wales,Australia
11032,35,AW00011032,Denise,Stone,Denise Stone,Female,2021-02-18,Melbourne,Victoria,Australia
11033,9,AW00011033,Jaime,Nath,Jaime Nath,Male,2021-02-15,Milsons Point,New South Wales,Australia
11034,12,AW00011034,Ebony,Gonzalez,Ebony Gonzalez,Female,2021-02-01,North Sydney,New South Wales,Australia
11035,33,AW00011035,Wendy,Dominguez,Wendy Dominguez,Female,2021-02-06,Cranbourne,Victoria,Australia
11036,343,AW00011036,Jennifer,Russell,Jennifer Russell,Female,2023-01-22,National City,California,United States
11037,49,AW00011037,Chloe,Garcia,Chloe Garcia,Female,2023-01-20,Cliffside,British Columbia,Canada
11038,6,AW00011038,Diana,Hernandez,Diana Hernandez,Female,2021-02-07,Lavender Bay,New South Wales,Australia
11039,19,AW00011039,Marc,Martin,Marc Martin,Male,2021-02-07,Wollongong,New South Wales,Australia
11040,642,AW00011040,Jesse,Murphy,Jesse Murphy,Male,2023-04-03,Tacoma,Washington,United States
11041,325,AW00011041,Amanda,Carter,Amanda Carter,Female,2023-01-14,Glendale,California,United States
11042,338,AW00011042,Megan,Sanchez,Megan Sanchez,Female,2023-01-21,Los Angeles,California,United States
11043,325,AW00011043,Nathan,Simmons,Nathan Simmons,Male,2023-05-08,Glendale,California,United States
11044,25,AW00011044,Adam,Flores,Adam Flores,Male,2021-02-28,Hervey Bay,Queensland,Australia
11045,8,AW00011045,Leonard,Nara,Leonard Nara,Male,2023-04-10,Matraville,New South Wales,Australia
11046,6,AW00011046,Christine,Yuan,Christine Yuan,Female,2021-02-06,Lavender Bay,New South Wales,Australia
11047,34,AW00011047,Jaclyn,Lu,Jaclyn Lu,Female,2021-02-03,Geelong,Victoria,Australia
11048,39,AW00011048,Jeremy,Powell,Jeremy Powell,Male,2021-02-10,Sunbury,Victoria,Australia
11049,307,AW00011049,Carol,Rai,Carol Rai,Female,2023-03-09,Chula Vista,California,United States
11050,31,AW00011050,Alan,Zheng,Alan Zheng,Male,2021-02-20,Hobart,Tasmania,Australia
11051,21,AW00011051,Daniel,Johnson,Daniel Johnson,Male,2023-12-29,Caloundra,Queensland,Australia
11052,8,AW00011052,Heidi,Lopez,Heidi Lopez,Female,2021-02-17,Matraville,New South Wales,Australia
